,Artist,Track,Album,Album_type,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration_min,Views,Likes,Comments,Licensed,Stream,most_playedon,duration_ms,explicit,year,popularity,key,genre
1378,The Weeknd,Starboy,Starboy,album,0.679,0.587,-7.015,0.276,0.141,6.35e-06,0.137,0.486,186.003,3.840883333333333,2168809930,10528200,386839,True,2180812000,Spotify,230453,True,2016,0,7,"pop, R&B"
1379,The Weeknd,Call Out My Name,"My Dear Melancholy,",album,0.461,0.593,-4.954,0.0356,0.17,0.0,0.307,0.175,134.17,3.806216666666667,838360134,5977866,122237,True,1252112924,Spotify,228373,False,2018,80,1,"pop, R&B"
1380,The Weeknd,The Hills,Beauty Behind The Madness,album,0.585,0.564,-7.063,0.0515,0.0671,0.0,0.135,0.137,113.003,4.03755,1933920747,11780694,308139,True,1762745054,Youtube,242253,True,2015,84,0,"pop, R&B"
1381,Robin Schulz,Waves - Robin Schulz Radio Edit,Waves (Robin Schulz Radio Edit),single,0.829,0.51,-9.334,0.0369,0.00821,0.00143,0.0829,0.45,119.994,3.4688833333333333,556802531,2524457,41337,True,847645952,Spotify,208133,False,2014,2,5,"hip hop, Dance/Electronic"
1382,Robin Schulz,Sugar (feat. Francesco Yates),Sugar,album,0.636,0.815,-5.098,0.0581,0.0185,0.0,0.163,0.636,123.063,3.650716666666667,747559429,3734778,76293,True,1041560286,Spotify,219043,False,2015,76,5,"pop, Dance/Electronic"
1383,Robin Schulz,Prayer in C - Robin Schulz Radio Edit,Prayer in C,single,0.763,0.875,-5.797,0.0262,0.024,5.41e-06,0.599,0.8,123.013,3.156883333333333,730842542,3846379,56570,True,880463196,Spotify,189399,False,2014,66,9,"pop, rock"
1384,Meghan Trainor,NO,Thank You (Deluxe Version),album,0.557,0.803,-3.599,0.213,0.0124,1.61e-06,0.737,0.657,92.134,3.55845,625637020,4870221,256262,True,451229648,Youtube,213506,False,2017,69,1,pop
1385,Meghan Trainor,All About That Bass,Title (Deluxe),album,0.807,0.887,-3.726,0.0503,0.0573,2.87e-06,0.124,0.961,134.052,3.132,2563945395,9507899,491104,True,702906978,Youtube,187920,True,2015,72,9,pop
1386,Meghan Trainor,Lips Are Movin,Title (Deluxe),album,0.775,0.825,-5.402,0.0464,0.0506,1.03e-06,0.111,0.95,139.091,3.04445,588338088,2573726,132274,True,384333791,Youtube,182666,False,2015,70,7,pop
1387,A$AP Rocky,"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",LONG.LIVE.A$AP (Deluxe Version),album,0.853,0.693,-6.87,0.275,0.0239,0.0,0.11,0.662,95.967,3.89645,296250849,1955320,61567,True,673626519,Spotify,233786,True,2013,76,1,hip hop
1388,Childish Gambino,3005,Because the Internet,album,0.664,0.447,-7.272,0.289,0.112,0.0,0.091,0.659,83.138,3.903583333333333,229772657,1809062,61972,True,642553236,Spotify,235662,True,2013,0,6,hip hop
1389,blackbear,do re mi,digital druglord,album,0.745,0.593,-6.35,0.0524,0.00522,5.06e-06,0.123,0.17,111.001,3.533783333333333,204429389,2299535,57248,True,558809408,Spotify,212027,True,2017,4,8,"hip hop, pop, Dance/Electronic"
1390,Sabrina Carpenter,Skin,Skin,single,0.557,0.457,-5.372,0.0335,0.428,0.0,0.0567,0.328,105.918,2.958333333333333,29882467,843452,65599,True,160014836,Spotify,239626,False,2017,67,0,R&B
1391,Rag'n'Bone Man,Skin,Human (Deluxe),album,0.564,0.745,-7.733,0.31,0.265,0.0,0.147,0.351,170.661,3.9937833333333335,162579823,1313373,18465,True,289089556,Spotify,239626,False,2017,67,0,R&B
1392,DJ Snake,"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",Carte Blanche,album,0.842,0.801,-4.167,0.228,0.157,4.82e-06,0.0642,0.617,95.881,3.5416666666666665,2414201716,18776025,552969,True,1379765140,Youtube,212500,True,2019,70,8,"hip hop, pop, Dance/Electronic"
1393,DJ Snake,Middle,Encore,album,0.583,0.695,-5.336,0.0423,0.0141,0.0,0.0527,0.224,104.879,3.6762166666666665,341127973,2901564,74244,True,942048801,Spotify,220573,False,2016,0,9,"hip hop, pop, Dance/Electronic"
1394,DJ Snake,You Know You Like It,You Know You Like It,single,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093,4.1211166666666665,86984837,761155,16876,True,446555806,Spotify,247266,False,2014,69,5,"hip hop, pop, Dance/Electronic"
1395,DJ Snake,You Know You Like It,You Know You Like It,single,0.407,0.725,-5.346,0.188,0.0141,2.46e-06,0.306,0.247,196.093,4.1211166666666665,86984837,761155,16876,True,446555806,Spotify,247266,False,2014,69,5,"hip hop, pop, Dance/Electronic"
1396,Migos,Stir Fry,Culture II,album,0.817,0.816,-5.402,0.269,0.00263,0.0,0.159,0.508,181.982,3.171466666666667,89858897,873880,39387,True,560051523,Spotify,190288,True,2018,72,2,"hip hop, pop"
1397,Migos,Walk It Talk It,Culture II,album,0.907,0.633,-5.145,0.184,0.0876,2.6e-06,0.106,0.395,145.914,4.60245,402051856,3589336,111565,True,675438899,Spotify,276147,True,2018,75,2,"hip hop, pop"
1398,Migos,Bad and Boujee (feat. Lil Uzi Vert),Culture,album,0.926,0.666,-5.314,0.244,0.0611,0.0,0.123,0.168,127.079,5.719166666666666,1189718607,7307104,253621,False,847911334,Youtube,343150,True,2017,72,11,"hip hop, pop"
1399,Migos,Slippery (feat. Gucci Mane),Culture,album,0.92,0.675,-5.661,0.263,0.307,0.0,0.104,0.749,141.967,5.06735,496618345,2504892,52843,False,556113740,Spotify,304041,True,2017,68,1,"hip hop, pop"
1400,Little Mix,Shout Out to My Ex,Glory Days (Expanded Edition),album,0.773,0.747,-4.061,0.0885,0.0242,8.99e-06,0.109,0.801,126.014,4.104,466132720,3470869,159680,True,668108317,Spotify,246240,False,2017,1,5,pop
1401,Little Mix,Black Magic,Get Weird (Expanded Edition),album,0.776,0.875,-5.535,0.0575,0.0343,0.0,0.314,0.849,111.988,3.5297666666666667,950319808,7592180,210965,True,546877034,Youtube,211773,False,2015,1,4,pop
